,PREC.I.1..in.,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
23014,8.1,8.10E-01,-2.73E+00,-9.10E-01,1.29E+00,5.40E-01,-3.90E-01,-4.00E-02,7.00E-02
23015,8.1,8.30E-01,-2.67E+00,-8.70E-01,1.31E+00,5.10E-01,-3.10E-01,-4.00E-02,7.00E-02
23016,8.1,1.05E+00,-2.47E+00,-8.80E-01,1.32E+00,4.70E-01,-1.40E-01,-4.00E-02,7.00E-02
23017,8.1,1.17E+00,-2.44E+00,-8.40E-01,1.30E+00,4.80E-01,-1.00E-01,-4.00E-02,8.00E-02
23018,8.1,1.10E+00,-2.46E+00,-8.10E-01,1.27E+00,4.80E-01,-5.00E-02,-4.00E-02,8.00E-02
23019,8.1,9.80E-01,-2.53E+00,-8.20E-01,1.30E+00,5.10E-01,-1.80E-01,-4.00E-02,8.00E-02
23020,8.1,8.40E-01,-2.17E+00,-5.30E-01,1.11E+00,1.50E-01,1.15E+00,3.00E-02,6.00E-02
23021,8.1,1.13E+00,-2.02E+00,-5.20E-01,1.00E+00,3.10E-01,7.70E-01,3.00E-02,7.00E-02
23022,8.1,1.61E+00,-1.84E+00,-7.50E-01,8.00E-01,8.70E-01,-1.22E+00,-5.00E-02,1.20E-01
23023,8.1,2.40E+00,-1.16E+00,-6.40E-01,2.10E-01,1.17E+00,-2.12E+00,-5.00E-02,1.40E-01
23024,8.1,2.99E+00,-8.00E-01,-5.70E-01,1.40E-01,1.20E+00,-2.41E+00,-5.00E-02,1.50E-01
23025,8.1,3.35E+00,-5.30E-01,-6.00E-01,-6.00E-02,1.34E+00,-2.83E+00,-7.00E-02,1.60E-01
23026,8.1,4.05E+00,8.00E-02,-2.80E-01,-1.80E-01,9.40E-01,-1.55E+00,-1.00E-02,1.30E-01
23027,8.1,4.35E+00,2.60E-01,-2.10E-01,-1.80E-01,7.90E-01,-1.13E+00,0.00E+00,1.20E-01
23028,8.1,4.48E+00,2.70E-01,-2.20E-01,-1.30E-01,6.70E-01,-9.10E-01,0.00E+00,1.00E-01
23029,8.1,4.00E+00,-3.50E-01,-4.50E-01,2.60E-01,4.40E-01,-3.80E-01,0.00E+00,4.00E-02
23030,8.1,3.90E+00,-5.80E-01,-4.90E-01,6.50E-01,2.20E-01,3.80E-01,1.00E-02,3.00E-02
23031,8.1,4.18E+00,9.00E-02,-2.00E-01,4.80E-01,-4.80E-01,2.34E+00,2.00E-02,-3.00E-02
23032,8.1,3.98E+00,-2.80E-01,-4.00E-01,3.50E-01,2.60E-01,1.20E-01,1.00E-02,3.00E-02
23033,8.1,3.25E+00,-1.51E+00,-7.20E-01,1.13E+00,4.90E-01,-3.60E-01,1.00E-02,5.00E-02
23034,8.1,2.80E+00,-1.59E+00,-6.20E-01,1.27E+00,6.00E-02,8.80E-01,1.00E-02,2.00E-02
23035,8.1,2.59E+00,-1.65E+00,-6.00E-01,1.25E+00,5.00E-02,9.60E-01,2.00E-02,2.00E-02
23036,8.1,2.17E+00,-2.01E+00,-6.70E-01,1.37E+00,1.90E-01,5.70E-01,2.00E-02,3.00E-02
23037,8.1,1.65E+00,-2.44E+00,-9.40E-01,1.47E+00,4.70E-01,-4.40E-01,-5.00E-02,6.00E-02
23038,8.1,1.58E+00,-2.44E+00,-9.30E-01,1.48E+00,4.80E-01,-4.10E-01,-5.00E-02,6.00E-02
23039,8.1,1.86E+00,-1.81E+00,-5.50E-01,1.20E+00,4.00E-02,1.20E+00,2.00E-02,3.00E-02
23040,8.1,1.15E+00,-2.28E+00,-6.00E-01,1.22E+00,2.00E-01,7.80E-01,2.00E-02,5.00E-02
23041,8.1,8.30E-01,-2.35E+00,-5.60E-01,1.15E+00,1.90E-01,8.90E-01,3.00E-02,5.00E-02
23042,8.1,8.80E-01,-2.32E+00,-5.40E-01,1.16E+00,1.70E-01,1.14E+00,3.00E-02,6.00E-02
23043,8.1,7.50E-01,-2.33E+00,-5.50E-01,1.17E+00,1.90E-01,1.13E+00,4.00E-02,6.00E-02
23044,8.1,6.30E-01,-2.32E+00,-5.20E-01,1.14E+00,1.70E-01,1.15E+00,4.00E-02,6.00E-02
23045,8.1,9.00E-01,-2.09E+00,-5.00E-01,9.50E-01,3.10E-01,7.50E-01,4.00E-02,7.00E-02
23046,8.1,1.54E+00,-1.75E+00,-5.90E-01,7.50E-01,6.50E-01,-4.80E-01,-2.00E-02,1.00E-01
23047,8.1,2.47E+00,-1.02E+00,-4.80E-01,3.40E-01,8.10E-01,-1.21E+00,-3.00E-02,1.10E-01
23048,8.1,3.05E+00,-5.40E-01,-3.80E-01,1.00E-02,9.60E-01,-1.70E+00,-3.00E-02,1.30E-01
23049,8.1,3.73E+00,1.90E-01,-2.10E-01,-3.60E-01,8.20E-01,-1.43E+00,-3.00E-02,1.20E-01
23050,8.1,4.14E+00,2.70E-01,-2.90E-01,-2.20E-01,8.60E-01,-1.52E+00,-4.00E-02,1.20E-01
23051,8.1,4.20E+00,2.00E-02,-3.40E-01,-6.00E-02,9.40E-01,-1.85E+00,-4.00E-02,1.20E-01
23052,8.1,4.12E+00,-3.00E-01,-6.10E-01,2.00E-01,1.10E+00,-2.54E+00,-7.00E-02,1.30E-01
23053,8.1,4.54E+00,6.00E-02,-3.30E-01,1.30E-01,6.80E-01,-1.29E+00,-1.00E-02,8.00E-02
23054,8.1,4.66E+00,1.00E-01,-3.20E-01,1.40E-01,5.10E-01,-7.80E-01,-1.00E-02,6.00E-02
23055,8.1,4.54E+00,-6.00E-02,-3.80E-01,2.90E-01,4.00E-01,-4.70E-01,0.00E+00,4.00E-02
23056,8.1,4.29E+00,-1.40E-01,-3.90E-01,2.50E-01,2.10E-01,-1.30E-01,0.00E+00,0.00E+00
23057,8.1,3.66E+00,-1.09E+00,-5.40E-01,1.10E+00,4.00E-02,5.10E-01,0.00E+00,0.00E+00
23058,8.1,2.82E+00,-1.80E+00,-7.40E-01,1.39E+00,1.70E-01,3.00E-01,0.00E+00,1.00E-02
23059,8.1,2.53E+00,-1.97E+00,-6.70E-01,1.51E+00,4.00E-02,7.50E-01,1.00E-02,1.00E-02
23060,8.1,2.19E+00,-2.04E+00,-6.70E-01,1.44E+00,8.00E-02,7.50E-01,2.00E-02,2.00E-02
23061,8.1,1.70E+00,-2.28E+00,-7.40E-01,1.48E+00,1.90E-01,4.90E-01,2.00E-02,2.00E-02
23062,8.1,1.38E+00,-2.38E+00,-7.10E-01,1.39E+00,2.20E-01,4.90E-01,2.00E-02,3.00E-02
23063,8.1,1.29E+00,-2.48E+00,-7.50E-01,1.50E+00,2.50E-01,4.80E-01,2.00E-02,4.00E-02
23064,8.1,1.07E+00,-2.65E+00,-9.50E-01,1.48E+00,5.00E-01,-2.80E-01,-4.00E-02,7.00E-02
23065,8.1,8.00E-01,-2.84E+00,-9.60E-01,1.47E+00,5.80E-01,-5.60E-01,-4.00E-02,8.00E-02
23066,8.1,7.70E-01,-2.88E+00,-9.50E-01,1.47E+00,6.00E-01,-6.20E-01,-5.00E-02,8.00E-02
23067,8.1,1.21E+00,-2.38E+00,-8.30E-01,1.43E+00,3.30E-01,1.80E-01,-4.00E-02,6.00E-02
23068,8.1,8.60E-01,-2.46E+00,-6.50E-01,1.26E+00,3.10E-01,6.80E-01,2.00E-02,7.00E-02
23069,8.1,1.19E+00,-2.20E+00,-5.80E-01,1.15E+00,3.30E-01,5.80E-01,3.00E-02,6.00E-02
23070,8.1,2.14E+00,-1.52E+00,-5.30E-01,8.00E-01,5.30E-01,-3.00E-01,1.00E-02,8.00E-02
23071,8.1,3.00E+00,-7.80E-01,-4.20E-01,2.90E-01,7.90E-01,-1.03E+00,0.00E+00,1.10E-01
23072,8.1,3.67E+00,-3.00E-02,-2.20E-01,-2.00E-02,6.20E-01,-7.60E-01,0.00E+00,9.00E-02
23073,8.1,3.66E+00,-1.80E-01,-3.40E-01,-7.00E-02,8.30E-01,-1.58E+00,-2.00E-02,1.00E-01
23074,8.1,3.82E+00,0.00E+00,-3.50E-01,-1.00E-01,6.80E-01,-1.12E+00,-2.00E-02,9.00E-02
