,SMS.I.1..2..pct....silt.,V1,V2,V3,V4V,5V,V6,V7,V8
24709,5.3,-7.87E-01,-1.88E+00,-8.50E-01,-9.85E-01,1.84E-02,2.59E-02,-1.13E-01,-2.59E-01
24710,5.4,-7.29E-01,-1.82E+00,-2.65E-01,-1.13E+00,-5.41E-03,3.19E-02,-1.27E-01,1.36E-01
24711,5.9,-7.90E-01,-1.70E+00,2.14E-01,-1.30E+00,-2.04E-02,3.33E-02,-1.07E-01,4.68E-01
24712,6,-7.50E-01,-2.27E+00,2.00E+00,-1.95E+00,1.69E-02,7.85E-02,-1.95E-01,-7.18E-01
24713,5.4,-7.34E-01,-2.37E+00,1.96E+00,-1.98E+00,8.82E-03,8.38E-02,-2.35E-01,-7.20E-01
24714,5.3,-7.06E-01,-2.35E+00,2.02E+00,-1.97E+00,1.38E-02,8.45E-02,-2.36E-01,-7.65E-01
24715,5.3,-6.91E-01,-2.14E+00,-1.95E-01,-1.21E+00,3.66E-02,4.21E-02,-1.45E-01,-7.33E-01
24716,5.4,-7.01E-01,-2.14E+00,-4.81E-01,-1.16E+00,4.28E-02,3.79E-02,-1.38E-01,-7.88E-01
24717,5.4,-6.37E-01,-2.09E+00,-5.05E-01,-1.17E+00,3.93E-02,3.77E-02,-1.39E-01,-7.07E-01
24718,5.3,-5.78E-01,-2.01E+00,-6.12E-01,-1.20E+00,3.02E-02,3.86E-02,-1.44E-01,-6.19E-01
24719,5.7,-4.77E-01,-1.93E+00,-6.87E-01,-1.28E+00,2.11E-02,4.01E-02,-1.52E-01,-5.33E-01
24720,5.7,-4.45E-01,-1.88E+00,-7.62E-01,-1.30E+00,1.08E-02,4.01E-02,-1.53E-01,-4.32E-01
24721,5.8,-3.95E-01,-1.83E+00,-8.14E-01,-1.32E+00,6.99E-03,4.06E-02,-1.56E-01,-3.93E-01
24722,5.8,-3.85E-01,-1.82E+00,-8.80E-01,-1.35E+00,2.60E-03,4.07E-02,-1.58E-01,-3.52E-01
24723,5.8,-3.55E-01,-1.79E+00,-9.25E-01,-1.36E+00,-6.17E-04,4.08E-02,-1.59E-01,-3.17E-01
24724,6,-2.60E-01,-1.78E+00,-1.14E+00,-1.28E+00,7.52E-03,3.81E-02,-1.52E-01,-4.29E-01
24725,5.7,-2.36E-01,-1.76E+00,-1.13E+00,-1.30E+00,3.27E-03,3.92E-02,-1.55E-01,-3.76E-01
24726,5.9,-2.35E-01,-1.78E+00,-1.15E+00,-1.32E+00,-2.47E-03,3.88E-02,-1.55E-01,-3.09E-01
24727,5.9,-2.23E-01,-1.79E+00,-1.19E+00,-1.31E+00,-1.06E-03,3.82E-02,-1.54E-01,-3.24E-01
24728,6,-2.17E-01,-1.75E+00,-1.27E+00,-1.31E+00,6.59E-03,3.73E-02,-1.54E-01,-3.97E-01
24729,5.9,-1.99E-01,-1.79E+00,-1.25E+00,-1.28E+00,1.84E-03,3.69E-02,-1.51E-01,-3.39E-01
24730,5.8,-2.17E-01,-1.77E+00,-1.20E+00,-1.33E+00,-1.87E-04,3.80E-02,-1.56E-01,-2.98E-01
24731,6.2,-2.39E-01,-1.75E+00,-1.02E+00,-1.38E+00,-9.04E-03,3.91E-02,-1.59E-01,-1.66E-01
24732,6.4,-2.78E-01,-1.55E+00,2.97E-01,-1.73E+00,-7.11E-02,5.35E-02,-1.93E-01,7.55E-01
24733,7.3,-3.06E-01,-1.51E+00,2.49E-01,-1.75E+00,-5.87E-02,4.77E-02,-1.56E-01,7.03E-01
