,SMS.I.1..20..pct....silt.,V1,V2,V3,V4,V5,V6,7,V8
33330,7.2,-9.98E-01,1.15E+00,-2.09E-01,-4.59E-03,9.51E-02,-1.94E+00,6.19E-01,-1.86E-02
33331,7.2,-1.00E+00,1.05E+00,-4.52E-01,-4.34E-03,1.27E-01,-1.71E+00,6.18E-01,-4.04E-02
33332,6.9,-1.06E+00,9.39E-01,-7.82E-01,-4.56E-03,1.56E-01,-1.42E+00,6.09E-01,-3.26E-02
33333,7.2,-1.07E+00,8.26E-01,-1.01E+00,-3.43E-03,2.10E-01,-1.21E+00,6.28E-01,-3.39E-02
33334,7.3,-1.08E+00,7.57E-01,-1.14E+00,-3.14E-03,2.35E-01,-1.11E+00,6.36E-01,-3.47E-02
33335,7.3,-1.08E+00,7.16E-01,-1.24E+00,-2.93E-03,2.56E-01,-1.02E+00,6.24E-01,-3.80E-02
33336,6.9,-1.11E+00,6.99E-01,-1.35E+00,-4.13E-03,2.36E-01,-9.38E-01,6.09E-01,-4.35E-02
33337,6.9,-1.12E+00,6.39E-01,-1.49E+00,-3.99E-03,2.55E-01,-8.09E-01,6.13E-01,-4.59E-02
33338,6.9,-1.14E+00,5.66E-01,-1.67E+00,-3.81E-03,2.78E-01,-6.53E-01,6.18E-01,-4.89E-02
33339,7.1,-1.11E+00,5.79E-01,-1.60E+00,-2.86E-03,2.99E-01,-7.07E-01,6.14E-01,-4.67E-02
33340,7.1,-1.11E+00,5.79E-01,-1.60E+00,-2.86E-03,2.99E-01,-7.07E-01,6.14E-01,-4.67E-02
33341,7.3,-1.12E+00,5.34E-01,-1.69E+00,-2.37E-03,3.21E-01,-6.23E-01,6.22E-01,-4.71E-02
33342,7,-1.13E+00,5.60E-01,-1.67E+00,-3.20E-03,2.97E-01,-6.53E-01,6.10E-01,-4.90E-02
33343,7.4,-1.10E+00,5.18E-01,-1.69E+00,-2.21E-03,3.26E-01,-6.12E-01,6.35E-01,-6.16E-02
33344,7.5,-1.09E+00,5.00E-01,-1.71E+00,-2.03E-03,3.40E-01,-6.16E-01,6.23E-01,-6.23E-02
33345,7,-1.12E+00,4.90E-01,-1.82E+00,-3.63E-03,3.10E-01,-5.37E-01,6.03E-01,-6.90E-02
33346,7.1,-1.12E+00,5.02E-01,-1.77E+00,-2.83E-03,3.26E-01,-5.74E-01,6.03E-01,-5.09E-02
